generation,best_fitness,avg_fitness
0,531.4375,473.81953125
1,560.125,483.67265625
2,563.25,499.98984375
3,567.8125,509.2671875
4,574.5625,519.475
5,586.875,532.11171875
6,588.5,545.55234375
7,606.25,557.51171875
8,610.25,559.56640625
9,616.875,577.0890625
10,621.0,593.65703125
11,622.8125,603.37734375
12,635.3125,607.51796875
13,641.3125,612.20078125
14,640.125,613.5875
15,641.0625,620.27578125
16,642.1875,624.1046875
17,644.125,631.11796875
18,644.6875,638.43125
19,648.0625,637.27421875
20,653.0,638.1453125
21,659.5625,641.378125
22,659.0,642.13359375
23,660.0,648.1125
24,662.875,650.51328125
25,663.5,654.12421875
26,663.375,656.74140625
27,663.9375,655.55546875
28,664.1875,656.60234375
29,664.5,655.7234375
30,664.0625,657.6640625
31,663.875,657.50234375
32,665.1875,656.7296875
33,666.75,657.37734375
34,666.4375,657.825
35,666.1875,658.36796875
36,665.875,658.4828125
37,666.1875,659.078125
38,666.4375,659.47890625
39,666.125,657.6265625
40,666.5625,658.87421875
41,665.0,659.36015625
42,665.5,658.91015625
43,666.1875,658.93515625
44,666.0,658.7796875
45,666.375,660.86484375
46,666.9375,658.74453125
47,666.375,659.9375
48,666.625,660.0234375
49,668.3125,659.7578125
50,667.5625,660.89453125
51,668.375,661.54921875
52,666.125,658.09375
53,666.6875,660.725
54,667.5625,660.45234375
55,666.6875,661.503125
56,668.0,661.50859375
57,667.75,659.48828125
58,668.0,658.07109375
59,668.875,656.3515625
60,668.3125,659.5375
61,667.75,661.33515625
62,668.125,662.23203125
63,667.875,661.00546875
64,670.5625,662.61328125
65,669.0625,662.7609375
66,669.8125,661.44453125
67,669.4375,663.11171875
68,671.8125,662.25546875
69,669.8125,661.703125
70,671.0,664.46015625
71,672.25,662.79375
72,672.1875,663.57578125
73,674.5625,665.24140625
74,673.1875,666.58671875
75,674.0,665.9296875
76,673.75,667.85703125
77,676.5625,666.14296875
78,674.375,665.8078125
79,675.625,670.0328125
80,675.125,668.0578125
81,677.125,670.01796875
82,676.5625,670.4046875
83,676.125,668.4015625
84,675.9375,670.59921875
85,675.8125,667.26484375
86,676.4375,670.7234375
87,676.5,668.95546875
88,676.125,667.7703125
89,675.0,670.71484375
90,675.875,667.02578125
91,675.4375,670.83515625
92,677.0,668.85
93,676.0,668.48671875
94,675.5625,670.465625
95,674.75,667.31484375
96,676.0625,670.3125
97,676.4375,668.784375
98,675.0625,668.303125
99,677.9375,670.446875
100,676.5,669.3609375
101,675.8125,668.9203125
102,676.375,668.11171875
103,674.9375,669.13125
104,676.875,668.62265625
105,675.6875,669.61171875
106,676.625,670.490625
107,677.625,666.85703125
108,677.0625,669.82421875
109,676.75,671.4859375
110,678.25,670.56953125
111,677.5,669.184375
112,676.4375,670.82890625
113,676.875,669.834375
114,677.3125,671.36796875
115,676.4375,669.4703125
116,678.1875,668.559375
117,676.6875,670.5578125
118,677.9375,671.6625
119,676.3125,668.7671875
120,678.0625,671.13125
121,676.875,671.0953125
122,676.125,669.37109375
123,678.5,669.93828125
124,676.0,670.86171875
125,677.25,671.31171875
126,676.75,669.9203125
127,676.875,671.03203125
128,677.5,672.5546875
129,677.5,672.0640625
130,677.625,669.51171875
131,678.3125,671.89609375
132,678.875,672.5125
133,676.8125,671.13515625
134,678.9375,671.99765625
135,693.25,672.89140625
136,695.625,670.6390625
137,699.625,676.815625
138,700.25,681.85
139,699.5,689.2953125
140,700.8125,691.90546875
141,699.3125,691.9390625
142,698.625,693.4703125
143,700.0,693.4078125
144,699.875,693.99140625
145,699.375,694.1421875
146,699.3125,693.2125
147,701.5625,692.565625
148,700.0,691.91875
149,699.375,693.921875
150,700.0,693.69140625
151,700.375,693.03203125
152,700.5625,693.178125
153,700.0625,693.86640625
154,699.8125,694.134375
155,699.4375,693.29296875
156,700.3125,694.546875
157,698.6875,693.49609375
158,700.4375,692.5875
159,699.375,693.89765625
160,699.1875,694.178125
161,700.625,694.82109375
162,699.375,692.625
163,699.5,689.59453125
164,698.5,694.04453125
165,699.125,692.5890625
166,700.375,692.89765625
167,698.5625,693.8296875
168,699.1875,693.10390625
169,698.875,692.58671875
170,699.375,692.13828125
171,700.0,694.0828125
172,699.75,692.375
173,699.4375,692.87578125
174,699.0,693.88671875
175,699.6875,692.33671875
176,700.3125,692.06015625
177,698.625,693.40859375
178,701.0,690.27734375
179,699.0625,691.68125
180,700.5,690.66796875
181,700.3125,694.36640625
182,699.1875,690.2609375
183,699.5,693.55390625
184,698.875,691.88828125
185,699.1875,693.89765625
186,700.3125,694.0828125
187,699.1875,692.2296875
188,699.0,692.8375
189,699.6875,690.63828125
190,698.875,693.6296875
191,700.375,690.04375
192,699.6875,693.61171875
193,698.8125,692.4859375
194,698.875,693.78828125
195,700.8125,694.09375
196,698.8125,694.26171875
197,700.625,693.21015625
198,701.125,693.63046875
199,700.1875,695.353125
