generation,best_fitness,avg_fitness
0,563.8125,481.10078125
1,561.6875,504.32890625
2,581.625,518.02578125
3,611.625,529.36171875
4,641.375,539.53125
5,641.4375,554.39296875
6,641.0625,565.01953125
7,678.5625,582.27109375
8,677.375,595.4296875
9,680.125,599.99609375
10,681.9375,622.16875
11,683.1875,637.6984375
12,683.9375,663.66796875
13,683.3125,676.0390625
14,684.5625,675.7671875
15,683.3125,673.75
16,685.4375,676.0640625
17,685.625,676.1265625
18,686.375,675.8015625
19,687.9375,679.04765625
20,686.0625,678.33046875
21,686.9375,676.9734375
22,688.75,678.87421875
23,692.3125,676.32265625
24,691.3125,682.27421875
25,691.9375,679.83359375
26,694.5625,680.6046875
27,695.5625,682.44453125
28,695.25,686.6140625
29,694.25,687.66640625
30,695.9375,689.06015625
31,695.0,689.25703125
32,695.25,689.4921875
33,695.25,687.0828125
34,695.5625,688.9765625
35,694.75,687.61171875
36,694.75,689.18203125
37,696.25,688.79609375
38,694.8125,687.3703125
39,695.9375,688.92109375
40,694.8125,689.05703125
41,697.25,688.94375
42,695.75,689.078125
43,695.1875,688.00234375
44,697.625,688.115625
45,695.875,687.7359375
46,696.25,687.16484375
47,697.0,688.5359375
48,695.6875,689.9640625
49,696.3125,688.75
50,696.75,688.9046875
51,697.75,690.63125
52,695.3125,689.3234375
53,696.125,687.6765625
54,696.125,688.7734375
55,695.8125,690.69296875
56,696.5625,688.80234375
57,698.0,689.88671875
58,696.875,689.7
59,695.375,689.23515625
60,696.0,689.0375
61,696.6875,690.00546875
62,695.3125,688.08359375
63,696.625,688.76953125
64,695.9375,687.921875
65,695.5625,689.40546875
66,695.625,690.4234375
67,693.75,688.74140625
68,695.3125,687.28203125
69,694.9375,689.34140625
70,694.875,688.46640625
71,693.9375,688.87421875
72,695.625,688.29453125
73,696.5,689.753125
74,695.9375,688.38671875
75,695.6875,689.53046875
76,698.25,688.8234375
77,695.5,687.53828125
78,696.75,686.98125
79,696.4375,688.83984375
80,697.125,689.3921875
81,697.4375,689.7328125
82,697.375,687.94453125
83,695.75,689.746875
84,693.75,687.5078125
85,695.75,687.64140625
86,697.0625,688.0515625
87,696.75,690.659375
88,695.875,687.27578125
89,696.25,688.77578125
90,693.9375,688.86953125
91,695.3125,688.3875
92,696.0,688.459375
93,694.375,689.996875
94,696.375,689.26640625
95,697.4375,687.94921875
96,696.0625,687.92890625
97,696.5,689.00390625
98,697.3125,688.9421875
99,695.875,689.3734375
100,694.5625,688.44921875
101,695.375,686.1140625
102,694.0625,687.08984375
103,697.25,689.17578125
104,696.8125,688.759375
105,695.5,689.49375
106,700.625,689.4921875
107,695.3125,684.92265625
108,695.9375,690.271875
109,696.875,689.440625
110,696.0,687.77265625
111,697.5,689.671875
112,695.75,689.13359375
113,696.75,687.78203125
114,696.5625,688.9421875
115,695.5625,689.7953125
116,695.0,688.65390625
117,694.1875,685.99296875
118,696.1875,688.43046875
119,698.8125,689.47578125
120,694.0,687.98515625
121,696.1875,689.21796875
122,697.0,688.6078125
123,695.5,689.809375
124,696.75,690.065625
125,696.5625,689.7078125
126,696.25,689.24765625
127,696.8125,688.809375
128,695.375,689.684375
129,696.0625,689.38515625
130,696.125,689.8546875
131,697.25,688.7796875
132,695.625,688.5859375
133,696.0,690.10703125
134,695.4375,690.1484375
135,695.25,690.0375
136,696.375,689.05234375
137,695.4375,688.146875
138,696.125,690.0859375
139,697.25,688.3671875
140,696.1875,689.49375
141,696.875,689.59609375
142,698.0625,688.32578125
143,695.0,689.24140625
144,696.1875,689.0078125
145,695.3125,689.36875
146,694.4375,687.1625
147,697.1875,688.61953125
148,694.3125,688.290625
149,696.1875,690.034375
150,694.375,688.1015625
151,696.75,688.48125
152,696.0625,688.21953125
153,694.8125,688.0453125
154,696.125,687.30859375
155,695.75,690.3859375
156,696.375,689.79921875
157,697.125,690.428125
158,695.875,686.1015625
159,696.75,688.4484375
160,696.0625,690.265625
161,697.0625,689.15625
162,697.0625,689.7921875
163,696.5,690.53125
164,697.4375,689.08359375
165,696.625,690.009375
166,696.25,689.6265625
167,697.25,690.6234375
168,695.5625,688.61484375
169,696.75,690.16640625
170,696.75,688.1203125
171,694.1875,689.06328125
172,696.6875,690.8
173,697.125,690.67734375
174,697.125,689.65234375
175,696.8125,688.55390625
176,698.0,689.8140625
177,698.0,689.678125
178,698.6875,690.99140625
179,697.8125,690.75078125
180,700.625,689.6203125
181,698.5,692.4796875
182,697.75,689.97265625
183,699.8125,692.834375
184,698.8125,691.771875
185,698.9375,692.409375
186,699.625,693.05546875
187,700.625,692.7171875
188,698.25,693.59375
189,698.125,691.94609375
190,698.4375,692.83984375
191,700.3125,692.175
192,699.9375,691.88671875
193,699.875,692.14921875
194,699.125,694.709375
195,701.5,692.409375
196,700.625,694.70859375
197,703.0,693.571875
198,703.9375,693.35703125
199,702.5625,692.78203125
